id,question,options,answer,type
1,数据仓库数据的哪个特性意味着数据一旦进入数据仓库，一般不会被修改或删除？,"{'A': '面向主题', 'B': '集成性', 'C': '非易失性', 'D': '时变性'}",C,choice
2,以下哪项不是数据仓库的特点？,"{'A': '面向事务', 'B': '面向分析', 'C': '数据集成', 'D': '历史数据'}",A,choice
3,数据仓库的概念是由谁提出的？,"{'A': 'E.F. Codd', 'B': 'Bill Inmon', 'C': 'Raymond Agrawal', 'D': 'Jiawei Han'}",B,choice
4,关于ODS（操作数据存储）的说法，错误的是？,"{'A': '面向主题的', 'B': '集成的', 'C': '当前的或近当前的', 'D': '主要用于长期的历史分析'}",D,choice
5,数据仓库的最终目的是？,"{'A': '存储海量数据', 'B': '进行联机事务处理（OLTP）', 'C': '支持管理决策', 'D': '替代数据库'}",C,choice
6,“数据超市”通常是指？,"{'A': '整个企业的中央数据仓库', 'B': '面向特定部门或主题的小型数据仓库', 'C': 'ODS', 'D': '源数据库'}",B,choice
7,在数据仓库的三层架构中，不包括以下哪一层？,"{'A': '数据源层', 'B': 'ETL层', 'C': '数据仓库存储层', 'D': '业务应用层'}",D,choice
8,元数据不包含以下哪种信息？,"{'A': '数据源的描述', 'B': '数据转换规则', 'C': '具体的销售记录', 'D': '数据粒度的定义'}",C,choice
9,数据仓库的数据粒度描述了数据的？,"{'A': '质量水平', 'B': '详细程度', 'C': '来源渠道', 'D': '存储格式'}",B,choice
10,以下关于数据仓库和数据库的说法，正确的是？,"{'A': '数据仓库是数据库的替代品', 'B': '数据库主要用于复杂分析，数据仓库用于日常事务处理', 'C': '数据仓库的数据来源于多个异构的操作型数据库', 'D': '数据库和数据仓库没有区别'}",C,choice
11,在星型模式中，事实表与维度表之间的关系通常是？,"{'A': '一对一', 'B': '多对多', 'C': '一对多', 'D': '没有关系'}",C,choice
12,以下哪张表最可能是一个事实表？,"{'A': '商品表（商品ID，商品名称，类别）', 'B': '客户表（客户ID，客户姓名，地址）', 'C': '销售记录表（交易ID，时间ID，商品ID，客户ID，销售金额）', 'D': '日期表（日期ID，年，月，日）'}",C,choice
13,雪花模式与星型模式的主要区别在于？,"{'A': '事实表的结构不同', 'B': '维度表是否进行了规范化', 'C': '包含的维度数量不同', 'D': '数据量大小不同'}",B,choice
14,以下哪个OLAP操作可以将不同城市的数据汇总到国家级别？,"{'A': '切片', 'B': '切块', 'C': '钻取', 'D': '上卷'}",D,choice
15,哪个OLAP操作是固定一个维度的成员，观察其他维度的数据？,"{'A': '切片', 'B': '旋转', 'C': '钻取', 'D': '上卷'}",A,choice
16,关于维度表中的“缓慢变化维”问题，以下哪种解决方案是直接用新值覆盖旧值？,"{'A': '类型1', 'B': '类型2', 'C': '类型3', 'D': '类型4'}",A,choice
17,哪种缓慢变化维解决方案会添加新的维度行来保存历史记录？,"{'A': '类型1', 'B': '类型2', 'C': '类型3', 'D': '类型4'}",B,choice
18,在事实表中，最常见的键是？,"{'A': '主键', 'B': '外键', 'C': '代理键', 'D': '唯一键'}",B,choice
19,多维表达式（MDX）主要用于？,"{'A': '关系数据库查询', 'B': '数据挖掘算法实现', 'C': '多维数据库查询', 'D': 'ETL过程开发'}",C,choice
20,以下关于粒度说法错误的是？,"{'A': '低粒度数据细节丰富，存储空间大', 'B': '高粒度数据是高度汇总的数据', 'C': '粒度设计不影响查询性能', 'D': '粒度设计需要在存储成本和查询需求之间平衡'}",C,choice
21,ETL过程中的“T”代表什么？,"{'A': '传输', 'B': '转换', 'C': '交易', 'D': '测试'}",B,choice
22,以下哪项不是数据清洗的主要任务？,"{'A': '处理缺失值', 'B': '平滑噪声数据', 'C': '数据集成', 'D': '识别并消除异常点'}",C,choice
23,"将数据按比例缩放，使之落入一个特定的区间（如[0,1]）的方法是？","{'A': '数据清洗', 'B': '最小-最大规范化', 'C': 'z-score规范化', 'D': '数据聚合'}",B,choice
24,使用数据的均值和标准差进行规范化，得到均值为0，标准差为1的数据分布的方法是？,"{'A': '小数定标规范化', 'B': 'z-score规范化', 'C': '最小-最大规范化', 'D': '对数变换'}",B,choice
25,将多个数据源中的数据合并并存放到一个一致的数据存储（如数据仓库）中的过程是？,"{'A': '数据清洗', 'B': '数据集成', 'C': '数据变换', 'D': '数据归约'}",B,choice
26,数据归约技术不包括？,"{'A': '数据立方体聚合', 'B': '维度归约（如PCA）', 'C': '数值归约（如回归、聚类）', 'D': '数据加密'}",D,choice
27,主成分分析（PCA）是一种？,"{'A': '分类技术', 'B': '聚类技术', 'C': '维度归约技术', 'D': '关联规则挖掘技术'}",C,choice
28,处理缺失值时，用一个全局常量（如“unknown”）填充，这种方法的主要缺点是？,"{'A': '计算复杂', 'B': '可能会扭曲数据的分布', 'C': '无法处理数值型数据', 'D': '以上都是'}",B,choice
29,在数据集成中，来自不同数据源的同一个实体，由于命名不同而导致的问题称为？,"{'A': '冗余问题', 'B': '不一致问题', 'C': '实体识别问题', 'D': '模式集成问题'}",C,choice
30,以下哪种方法不是处理数据冗余的方法？,"{'A': '相关性分析', 'B': '协方差计算', 'C': '主成分分析', 'D': '决策树'}",D,choice
31,数据挖掘是以下哪个数据库阶段的发展？,"{'A': '数据采集', 'B': '数据管理', 'C': '数据分析和理解', 'D': '数据存储'}",C,choice
32,以下哪项不是数据挖掘的主要任务？,"{'A': '分类与预测', 'B': '聚类分析', 'C': '关联规则挖掘', 'D': '联机事务处理'}",D,choice
33,关联规则挖掘的目的是发现数据中项与项之间的？,"{'A': '因果关系', 'B': '相关关系', 'C': '函数关系', 'D': '逻辑关系'}",B,choice
34,关联规则 A -> B 的置信度为60%表示？,"{'A': '所有事务中60%同时包含A和B', 'B': '包含A的事务中，有60%也包含B', 'C': '包含B的事务中，有60%也包含A', 'D': 'A和B同时出现的概率是60%'}",B,choice
35,Apriori算法利用了什么性质来提高效率？,"{'A': '任何频繁项集的子集都是频繁的', 'B': '任何非频繁项集的超集都是非频繁的', 'C': '任何频繁项集的超集都是频繁的', 'D': '任何非频繁项集的子集都是非频繁的'}",B,choice
36,除了Apriori，另一种常见的关联规则挖掘算法是？,"{'A': 'K-Means', 'B': 'FP-Growth', 'C': 'ID3', 'D': 'PageRank'}",B,choice
37,如果最小支持度设置过高，会导致？,"{'A': '发现过多的规则', 'B': '可能漏掉一些有意义的规则', 'C': '计算时间变长', 'D': '规则置信度降低'}",B,choice
38,评估关联规则除了支持度和置信度，还可以用？,"{'A': '准确率', 'B': '召回率', 'C': '提升度', 'D': 'F1值'}",C,choice
39,序列模式挖掘与关联规则挖掘的主要区别是？,"{'A': '不考虑支持度', 'B': '考虑了时间顺序', 'C': '不考虑置信度', 'D': '只能用于数值型数据'}",B,choice
40,“啤酒与尿布”的故事是哪种数据挖掘任务的典型例子？,"{'A': '分类', 'B': '聚类', 'C': '关联规则', 'D': '异常检测'}",C,choice
41,以下哪种算法是分类算法？,"{'A': 'K-Means', 'B': 'Apriori', 'C': '决策树', 'D': 'DBSCAN'}",C,choice
42,决策树中，ID3算法使用什么来选择分裂属性？,"{'A': '基尼指数', 'B': '信息增益', 'C': '增益率', 'D': '分类错误率'}",B,choice
43,C4.5决策树算法使用什么来克服信息增益对多值属性的偏好？,"{'A': '基尼指数', 'B': '信息增益', 'C': '增益率', 'D': '分类错误率'}",C,choice
44,在决策树构建过程中，停止分裂的条件不包括？,"{'A': '节点中所有样本属于同一类', 'B': '没有属性可用于进一步分裂', 'C': '树深度达到预设值', 'D': '模型在训练集上准确率达到100%'}",D,choice
45,朴素贝叶斯分类器的“朴素”之处在于？,"{'A': '假设属性之间相互独立', 'B': '算法实现简单', 'C': '分类效果一般', 'D': '不需要训练'}",A,choice
46,K-近邻（KNN）算法在分类时，对于未知样本，根据什么确定其类别？,"{'A': '距离它最近的K个样本的多数类别', 'B': '距离它最远的K个样本的多数类别', 'C': '所有样本的类别平均值', 'D': '随机猜测'}",A,choice
47,支持向量机（SVM）寻找的最佳超平面是？,"{'A': '距离所有样本点最近', 'B': '距离正类样本最近', 'C': '距离负类样本最近', 'D': '距离两类样本边界点（支持向量）最远'}",D,choice
48,当数据线性不可分时，SVM通过什么方法处理？,"{'A': '引入松弛变量', 'B': '使用核函数', 'C': 'A和B都可以', 'D': '无法处理'}",C,choice
49,以下关于逻辑回归的说法，正确的是？,"{'A': '是一种回归算法，用于预测连续值', 'B': '是一种分类算法，输出是概率值', 'C': '不需要训练过程', 'D': '只能处理二分类问题'}",B,choice
50,在评估分类模型时，真正例（TP）是指？,"{'A': '实际为正类，预测也为正类的样本数', 'B': '实际为负类，预测为正类的样本数', 'C': '实际为正类，预测为负类的样本数', 'D': '实际为负类，预测也为负类的样本数'}",A,choice
51,准确率的计算公式是？,"{'A': 'TP / (TP + FP)', 'B': 'TP / (TP + FN)', 'C': '(TP + TN) / (TP + TN + FP + FN)', 'D': '(TP + FP) / (TP + TN + FP + FN)'}",C,choice
52,精准率（Precision）的计算公式是？,"{'A': 'TP / (TP + FP)', 'B': 'TP / (TP + FN)', 'C': '(TP + TN) / (TP + TN + FP + FN)', 'D': '(TP + FP) / (TP + TN + FP + FN)'}",A,choice
53,召回率（Recall）的计算公式是？,"{'A': 'TP / (TP + FP)', 'B': 'TP / (TP + FN)', 'C': '(TP + TN) / (TP + TN + FP + FN)', 'D': '(TP + FP) / (TP + TN + FP + FN)'}",B,choice
54,F1-Score是以下哪两者的调和平均？,"{'A': '准确率和召回率', 'B': '精准率和召回率', 'C': '真正例率和假正例率', 'D': '敏感性和特异性'}",B,choice
55,ROC曲线的横轴和纵轴分别是？,"{'A': '精准率，召回率', 'B': '假正例率，真正例率', 'C': '召回率，精准率', 'D': '真正例率，假正例率'}",B,choice
56,AUC值的含义是？,"{'A': 'ROC曲线下的面积，值越大模型越好', 'B': '准确率曲线下的面积', 'C': '模型的错误率', 'D': '模型的复杂度'}",A,choice
57,将数据集一部分用于训练，另一部分用于测试，这种方法称为？,"{'A': '留出法', 'B': '交叉验证法', 'C': '自助法', 'D': '装袋法'}",A,choice
58,10折交叉验证是指？,"{'A': '将数据分成10份，轮流用9份训练，1份测试，重复10次', 'B': '将数据分成10份，用1份训练，9份测试', 'C': '训练10个不同的模型', 'D': '测试10次'}",A,choice
59,集成学习通过结合多个基学习器来提高性能，以下哪个是集成学习方法？,"{'A': '决策树', 'B': '贝叶斯', 'C': '随机森林', 'D': 'KNN'}",C,choice
60,随机森林中“随机”体现在？,"{'A': '样本随机采样', 'B': '特征随机选择', 'C': 'A和B都是', 'D': '树的数量随机'}",C,choice
61,以下哪种算法是聚类算法？,"{'A': 'K-Means', 'B': '决策树', 'C': 'SVM', 'D': 'Apriori'}",A,choice
62,聚类分析属于？,"{'A': '有监督学习', 'B': '无监督学习', 'C': '半监督学习', 'D': '强化学习'}",B,choice
63,K-Means算法中，K值的确定通常使用？,"{'A': '肘部法则', 'B': '交叉验证', 'C': '计算准确率', 'D': '计算支持度'}",A,choice
64,K-Means算法的核心步骤不包括？,"{'A': '随机选择K个中心点', 'B': '计算每个点到中心点的距离并归类', 'C': '重新计算每个簇的中心点', 'D': '计算类的先验概率'}",D,choice
65,以下哪种聚类算法不需要预先指定簇的数目？,"{'A': 'K-Means', 'B': 'DBSCAN', 'C': 'K-中心点', 'D': '层次聚类（通过指定最终簇数）'}",B,choice
66,DBSCAN算法将数据点分为哪三类？,"{'A': '核心点、边界点、噪声点', 'B': '中心点、边缘点、离群点', 'C': '高密度点、低密度点、中点', 'D': '一类点、二类点、三类点'}",A,choice
67,层次聚类的结果通常用什么表示？,"{'A': '散点图', 'B': '树状图', 'C': '折线图', 'D': '饼图'}",B,choice
68,聚类效果的内部评估指标是？,"{'A': '准确率', 'B': '兰德指数', 'C': '轮廓系数', 'D': 'F1值'}",C,choice
69,两个簇的质心之间的距离可以作为哪种距离的度量？,"{'A': '簇内距离', 'B': '簇间距离', 'C': '样本间距离', 'D': '平均距离'}",B,choice
70,对于球形簇分布，哪种算法效果通常较好？,"{'A': 'K-Means', 'B': 'DBSCAN', 'C': '谱聚类', 'D': '以上都可以'}",A,choice
71,离群点检测的目标是发现？,"{'A': '最频繁出现的模式', 'B': '与大多数数据行为不一致的对象', 'C': '数据中的关联规则', 'D': '数据的分类标签'}",B,choice
72,文本挖掘中，TF-IDF用于？,"{'A': '评估词语的重要性', 'B': '进行词性标注', 'C': '进行句法分析', 'D': '翻译文本'}",A,choice
73,词袋模型（Bag of Words）的主要缺点是？,"{'A': '忽略词序信息', 'B': '计算复杂度高', 'C': '无法处理新词', 'D': '需要大量标注数据'}",A,choice
74,Web使用挖掘主要分析的数据是？,"{'A': '网页内容', 'B': '网页之间的超链接', 'C': '用户的访问日志', 'D': '用户的个人信息'}",C,choice
75,时间序列数据的特点是？,"{'A': '数据点相互独立', 'B': '数据点按时间顺序排列且存在依赖关系', 'C': '数据是高维的', 'D': '数据是文本形式的'}",B,choice
76,以下哪个不是时间序列预测的模型？,"{'A': 'ARIMA模型', 'B': '线性回归（不考虑时间顺序）', 'C': '循环神经网络（RNN）', 'D': 'K-Means'}",D,choice
77,社会网络分析中，用于衡量节点重要性的指标是？,"{'A': '中心性', 'B': '支持度', 'C': '置信度', 'D': '准确率'}",A,choice
78,PageRank算法最初用于？,"{'A': '商品推荐', 'B': '网页排序', 'C': '图像识别', 'D': '文本分类'}",B,choice
79,数据挖掘中的“维度灾难”是指？,"{'A': '数据量太大', 'B': '随着维度增加，数据变得稀疏，导致算法效率下降', 'C': '数据质量太差', 'D': '算法太复杂'}",B,choice
80,关于大数据的特点，通常不包括？,"{'A': '体积大', 'B': '处理速度快', 'C': '价值密度高', 'D': '种类多'}",C,choice
81,一个分类模型在训练集上准确率很高，但在测试集上很低，这种现象称为？,"{'A': '欠拟合', 'B': '过拟合', 'C': '正常拟合', 'D': '最佳拟合'}",B,choice
82,解决过拟合的方法不包括？,"{'A': '增加训练数据', 'B': '减少模型复杂度（如剪枝）', 'C': '使用正则化', 'D': '增加模型参数'}",D,choice
83,在建立客户流失预测模型时，最可能使用的数据挖掘任务是？,"{'A': '关联规则', 'B': '聚类', 'C': '分类', 'D': '离群点检测'}",C,choice
84,在市场篮分析中，最可能使用的数据挖掘任务是？,"{'A': '关联规则', 'B': '聚类', 'C': '分类', 'D': '离群点检测'}",A,choice
85,在客户细分中，最可能使用的数据挖掘任务是？,"{'A': '关联规则', 'B': '聚类', 'C': '分类', 'D': '离群点检测'}",B,choice
86,在信用卡欺诈检测中，最可能使用的数据挖掘任务是？,"{'A': '关联规则', 'B': '聚类', 'C': '分类', 'D': '离群点检测'}",D,choice
87,Hadoop生态系统中的MapReduce主要用于？,"{'A': '分布式存储', 'B': '分布式计算', 'C': '数据挖掘算法库', 'D': '工作流调度'}",B,choice
88,Spark相比MapReduce的一个主要优势是？,"{'A': '磁盘计算', 'B': '内存计算', 'C': '不支持迭代计算', 'D': '只能用于流处理'}",B,choice
89,数据挖掘项目的成功最重要的因素是？,"{'A': '强大的计算资源', 'B': '先进的算法', 'C': '正确的业务理解和数据理解', 'D': '复杂的模型'}",C,choice
90,关于数据挖掘中的伦理问题，以下说法错误的是？,"{'A': '需要注意用户隐私保护', 'B': '挖掘结果可能带有偏见', 'C': '可以随意使用任何数据', 'D': '模型决策需要可解释性'}",C,choice
